LineNr.	PosWords	NegWords	hasShift	NrPron	hasExcl	logNr	Label
58	12	5	1	0	1	5.0238805208462765	0
59	4	7	1	0	0	4.672828834461906	0
60	9	2	1	0	0	4.477336814478207	1
61	11	4	1	0	0	5.0106352940962555	1
62	10	5	1	0	0	5.198497031265826	1
63	0	0	0	0	0	5.049856007249537	0
64	11	3	1	0	0	4.912654885736052	1
65	6	5	1	0	0	4.343805421853684	1
66	8	4	0	0	1	4.477336814478207	1
67	14	7	1	1	0	5.056245805348308	0
68	19	4	0	0	0	5.0106352940962555	1
69	19	6	1	0	0	5.056245805348308	0
70	7	0	1	0	0	4.48863636973214	0
71	16	11	1	0	1	5.429345628954441	1
72	5	7	1	0	0	4.867534450455582	1
73	16	4	1	1	0	4.844187086458591	1
74	8	2	1	0	0	4.007333185232471	1
75	8	2	1	0	0	4.454347296253507	1
76	2	1	0	0	0	4.110873864173311	1
77	15	5	1	0	0	4.897839799950911	0
78	11	3	1	0	0	4.624972813284271	0
79	22	5	1	0	0	5.655991810819852	1
80	5	5	0	0	1	4.30406509320417	0
81	8	3	1	0	1	4.852030263919617	1
82	15	4	1	0	0	4.9344739331306915	1
83	11	10	1	1	1	5.493061443340548	0
84	17	9	1	0	0	5.645446897643238	0
85	8	3	1	0	0	4.110873864173311	1
86	5	2	0	0	0	4.3694478524670215	1
87	22	13	1	0	0	6.156978985585555	0
88	12	2	1	0	1	4.976733742420574	1
89	8	2	1	0	0	5.0238805208462765	0
90	4	7	1	0	1	5.0689042022202315	1
91	6	1	1	0	0	4.143134726391533	1
92	11	5	1	0	0	4.8283137373023015	0
93	7	6	1	0	0	4.770684624465665	0
94	7	1	1	0	0	4.852030263919617	0
95	17	4	1	0	1	5.0238805208462765	1
96	9	3	1	0	1	4.90527477843843	0
97	11	2	1	1	0	5.056245805348308	1
98	15	5	1	0	1	5.25227342804663	1
99	9	4	1	0	0	5.0106352940962555	1
100	6	3	1	0	0	5.1647859739235145	0
101	27	4	1	0	0	5.3471075307174685	1
102	8	6	1	0	0	5.049856007249537	0
103	5	2	1	0	1	4.110873864173311	1
104	5	1	1	0	0	3.8918202981106265	1
105	3	1	0	0	0	4.290459441148391	1
106	17	6	0	0	0	4.948759890378168	1
107	14	4	1	0	0	5.2574953720277815	0
108	10	0	0	0	0	4.804021044733257	1
109	6	2	1	0	0	4.430816798843313	0
110	9	3	1	0	0	5.375278407684165	0
111	7	6	1	1	0	4.770684624465665	0
112	10	1	1	0	0	4.532599493153256	1
113	17	3	1	0	0	4.844187086458591	1
114	7	2	1	0	0	4.189654742026425	1
115	11	10	1	0	0	5.043425116919247	0
116	5	2	1	0	0	4.0943445622221	0
117	17	9	1	1	1	5.58724865840025	0
118	6	8	1	0	0	4.962844630259907	0
119	6	1	1	0	0	4.532599493153256	0
120	4	1	1	1	0	4.663439094112067	0
121	20	1	1	1	0	5.1298987149230735	1
122	12	0	0	0	1	4.859812404361672	1
123	126	13	1	2	0	5.7430031878094825	0
124	12	6	1	0	1	5.5093883366279774	1
125	12	4	1	0	0	5.159055299214529	1
126	7	3	1	0	1	4.59511985013459	1
127	17	1	1	0	1	5.081404364984463	1
128	10	0	0	0	0	4.2626798770413155	1
129	7	1	1	0	0	4.02535169073515	1
130	8	2	1	0	0	4.727387818712341	0
131	5	2	1	0	0	4.6913478822291435	0
132	10	4	1	0	0	4.2626798770413155	1
133	8	2	0	0	0	4.605170185988092	1
134	8	2	1	0	0	4.875197323201151	1
135	14	4	1	0	0	4.804021044733257	1
136	7	1	1	0	1	4.709530201312334	0
137	7	0	1	0	0	4.290459441148391	1
138	12	3	1	0	1	4.990432586778736	1
139	24	5	1	0	0	5.556828061699537	1
140	19	3	0	0	0	4.820281565605037	1
141	19	5	1	0	1	4.976733742420574	1
142	13	3	0	0	1	4.770684624465665	1
143	13	8	1	0	0	5.389071729816501	0
144	14	9	1	0	1	5.356586274672012	0
145	8	3	1	0	1	4.356708826689592	0
146	5	2	1	0	0	4.430816798843313	0
147	8	1	1	0	0	4.248495242049359	1
148	9	5	1	0	1	4.77912349311153	1
149	10	3	1	0	0	4.955827057601261	1
150	7	3	1	0	1	4.882801922586371	0
151	4	7	1	0	0	4.624972813284271	0
152	15	6	1	0	1	5.075173815233827	1
153	9	1	1	0	0	3.970291913552122	0
154	11	2	1	0	0	4.787491742782046	1
155	22	6	1	0	0	5.583496308781699	1
156	9	0	1	0	0	4.68213122712422	0
157	8	1	1	1	0	4.23410650459726	1
158	6	2	1	0	0	4.955827057601261	0
159	30	10	1	2	0	5.700443573390687	0
160	11	4	1	0	0	4.820281565605037	0
161	9	2	0	0	0	4.356708826689592	1
162	26	3	0	1	0	5.4116460518550396	1
163	28	5	1	2	0	5.771441123130016	0
164	19	15	1	0	0	5.840641657373398	0
165	1	0	0	0	1	4.969813299576001	1
166	4	1	1	0	0	4.605170185988092	0
167	9	3	1	0	0	4.927253685157205	1
168	3	1	1	1	0	4.143134726391533	0
169	9	1	0	0	0	4.290459441148391	1
170	7	3	1	0	0	4.330733340286331	1
171	5	3	1	0	0	4.836281906951478	0
172	11	5	1	0	0	4.844187086458591	0
173	6	3	0	0	0	4.219507705176107	1
174	33	8	1	0	1	5.8522024797744745	0
175	19	4	1	0	0	5.313205979041787	0
176	21	4	1	0	1	5.676753802268282	0
177	9	4	0	0	0	4.418840607796598	1
178	6	1	0	0	0	4.127134385045092	1
179	5	7	1	0	0	4.983606621708336	0
180	6	1	1	1	0	4.499809670330265	0
181	16	0	1	0	0	4.919980925828125	1
182	3	1	0	1	0	4.343805421853684	0
183	8	3	1	0	0	4.8283137373023015	0
184	9	4	1	0	1	4.867534450455582	1
185	6	3	1	0	0	4.6913478822291435	0
186	14	1	0	0	0	4.875197323201151	1
187	7	5	0	0	0	4.584967478670572	0
188	5	2	0	0	0	4.189654742026425	1
189	24	7	1	0	0	5.723585101952381	0
190	13	2	1	0	0	5.1298987149230735	1
191	22	11	1	0	0	5.802118375377063	1
192	11	9	1	0	0	4.90527477843843	0
193	10	7	1	0	0	4.927253685157205	0
194	7	1	1	0	0	4.672828834461906	0
195	8	0	0	0	0	4.204692619390966	1
196	11	3	1	0	1	5.017279836814924	1
197	10	6	1	1	0	5.332718793265369	0
198	12	9	1	0	1	5.231108616854587	0
199	11	3	1	0	0	4.7535901911063645	0
200	9	2	1	0	0	4.48863636973214	0
201	10	4	1	0	1	5.365976015021851	0
202	14	1	0	0	0	5.111987788356544	1
203	8	2	1	0	0	4.430816798843313	0
204	2	1	0	0	0	3.9889840465642745	1
205	9	3	1	0	0	4.700480365792417	0
206	11	5	1	0	1	5.159055299214529	1
207	4	5	1	0	0	4.564348191467836	0
208	4	1	1	0	0	4.343805421853684	0
209	11	3	1	0	0	5.14166355650266	0
210	19	10	1	0	0	5.8916442118257715	1
211	8	4	1	0	0	5.288267030694535	0
212	13	6	0	0	0	5.017279836814924	1
213	9	2	1	0	1	4.74493212836325	0
214	48	13	1	2	0	6.135564891081739	1
215	12	7	0	0	0	4.770684624465665	1
216	23	12	1	0	0	5.267858159063328	0
217	8	1	1	0	0	4.532599493153256	1
218	16	6	1	1	0	5.017279836814924	1
219	12	2	1	1	0	4.653960350157523	0
220	9	4	1	0	1	4.709530201312334	1
221	24	14	1	0	1	5.659482215759621	0
222	5	0	0	0	0	4.0943445622221	1
223	15	7	1	0	0	4.718498871295094	1
224	13	2	1	0	1	5.0369526024136295	0
225	6	2	1	0	0	4.02535169073515	0
226	5	0	1	0	1	4.499809670330265	0
227	3	4	1	1	1	4.867534450455582	1
228	12	7	1	0	1	4.836281906951478	0
229	19	7	1	0	0	5.123963979403259	1
230	11	2	1	1	1	4.836281906951478	0
231	13	4	1	0	0	5.556828061699537	1
232	5	0	1	0	0	4.0943445622221	0
233	23	4	1	0	0	5.356586274672012	0
234	7	4	1	0	1	4.844187086458591	0
235	6	3	1	0	0	4.406719247264253	0
236	25	8	1	0	0	5.556828061699537	0
237	20	7	1	0	0	5.521460917862246	1
